#YEAR DOY HR  1
2013   1  0  7
2013   1  1  7
2013   1  2  7
2013   1  3  3
2013   1  4  3
2013   1  5  3
2013   1  6  3
2013   1  7  3
2013   1  8  3
2013   1  9  0
2013   1 10  0
2013   1 11  0
2013   1 12  3
2013   1 13  3
2013   1 14  3
2013   1 15  0
2013   1 16  0
2013   1 17  0
2013   1 18  0
2013   1 19  0
2013   1 20  0
2013   1 21  0
2013   1 22  0
2013   1 23  0
2013   2  0  7
2013   2  1  7
2013   2  2  7
2013   2  3  7
2013   2  4  7
2013   2  5  7
2013   2  6 13
2013   2  7 13
2013   2  8 13
2013   2  9 10
2013   2 10 10
2013   2 11 10
2013   2 12  7
2013   2 13  7
2013   2 14  7
2013   2 15  7
2013   2 16  7
2013   2 17  7
2013   2 18 10
2013   2 19 10
2013   2 20 10
2013   2 21  7
2013   2 22  7
2013   2 23  7
2013   3  0 17
2013   3  1 17
2013   3  2 17
2013   3  3  7
2013   3  4  7
2013   3  5  7
2013   3  6  7
2013   3  7  7
2013   3  8  7
2013   3  9  3
2013   3 10  3
2013   3 11  3
2013   3 12  7
2013   3 13  7
2013   3 14  7
2013   3 15  0
2013   3 16  0
2013   3 17  0
2013   3 18  0
2013   3 19  0
2013   3 20  0
2013   3 21  0
2013   3 22  0
2013   3 23  0
2013   4  0 17
2013   4  1 17
2013   4  2 17
2013   4  3  3
2013   4  4  3
2013   4  5  3
2013   4  6 10
2013   4  7 10
2013   4  8 10
2013   4  9  3
2013   4 10  3
2013   4 11  3
2013   4 12  0
2013   4 13  0
2013   4 14  0
2013   4 15  0
2013   4 16  0
2013   4 17  0
2013   4 18  7
2013   4 19  7
2013   4 20  7
2013   4 21  7
2013   4 22  7
2013   4 23  7
2013   5  0  7
2013   5  1  7
2013   5  2  7
2013   5  3 10
2013   5  4 10
2013   5  5 10
2013   5  6 10
2013   5  7 10
2013   5  8 10
2013   5  9  7
2013   5 10  7
2013   5 11  7
2013   5 12  0
2013   5 13  0
2013   5 14  0
2013   5 15  0
2013   5 16  0
2013   5 17  0
2013   5 18  3
2013   5 19  3
2013   5 20  3
2013   5 21  0
2013   5 22  0
2013   5 23  0
2013   6  0  7
2013   6  1  7
2013   6  2  7
2013   6  3  7
2013   6  4  7
2013   6  5  7
2013   6  6  7
2013   6  7  7
2013   6  8  7
2013   6  9 10
2013   6 10 10
2013   6 11 10
2013   6 12 10
2013   6 13 10
2013   6 14 10
2013   6 15 10
2013   6 16 10
2013   6 17 10
2013   6 18 17
2013   6 19 17
2013   6 20 17
2013   6 21 10
2013   6 22 10
2013   6 23 10
2013   7  0 13
2013   7  1 13
2013   7  2 13
2013   7  3  3
2013   7  4  3
2013   7  5  3
2013   7  6 17
2013   7  7 17
2013   7  8 17
2013   7  9  3
2013   7 10  3
2013   7 11  3
2013   7 12  3
2013   7 13  3
2013   7 14  3
2013   7 15  0
2013   7 16  0
2013   7 17  0
2013   7 18  3
2013   7 19  3
2013   7 20  3
2013   7 21  7
2013   7 22  7
2013   7 23  7
2013   8  0  7
2013   8  1  7
2013   8  2  7
2013   8  3 13
2013   8  4 13
2013   8  5 13
2013   8  6 10
2013   8  7 10
2013   8  8 10
2013   8  9 13
2013   8 10 13
2013   8 11 13
2013   8 12  3
2013   8 13  3
2013   8 14  3
2013   8 15 10
2013   8 16 10
2013   8 17 10
2013   8 18 10
2013   8 19 10
2013   8 20 10
2013   8 21 23
2013   8 22 23
2013   8 23 23
2013   9  0 23
2013   9  1 23
2013   9  2 23
2013   9  3 13
2013   9  4 13
2013   9  5 13
2013   9  6  3
2013   9  7  3
2013   9  8  3
2013   9  9 23
2013   9 10 23
2013   9 11 23
2013   9 12  7
2013   9 13  7
2013   9 14  7
2013   9 15  3
2013   9 16  3
2013   9 17  3
2013   9 18  7
2013   9 19  7
2013   9 20  7
2013   9 21  7
2013   9 22  7
2013   9 23  7
2013  10  0 13
2013  10  1 13
2013  10  2 13
2013  10  3  3
2013  10  4  3
2013  10  5  3
2013  10  6  7
2013  10  7  7
2013  10  8  7
2013  10  9  7
2013  10 10  7
2013  10 11  7
2013  10 12  3
2013  10 13  3
2013  10 14  3
2013  10 15  3
2013  10 16  3
2013  10 17  3
2013  10 18  7
2013  10 19  7
2013  10 20  7
2013  10 21  3
2013  10 22  3
2013  10 23  3
2013  11  0  7
2013  11  1  7
2013  11  2  7
2013  11  3  7
2013  11  4  7
2013  11  5  7
2013  11  6 10
2013  11  7 10
2013  11  8 10
2013  11  9  7
2013  11 10  7
2013  11 11  7
2013  11 12  7
2013  11 13  7
2013  11 14  7
2013  11 15  0
2013  11 16  0
2013  11 17  0
2013  11 18  7
2013  11 19  7
2013  11 20  7
2013  11 21 17
2013  11 22 17
2013  11 23 17
2013  12  0 20
2013  12  1 20
2013  12  2 20
2013  12  3 10
2013  12  4 10
2013  12  5 10
2013  12  6 10
2013  12  7 10
2013  12  8 10
2013  12  9 10
2013  12 10 10
2013  12 11 10
2013  12 12  7
2013  12 13  7
2013  12 14  7
2013  12 15  3
2013  12 16  3
2013  12 17  3
2013  12 18 10
2013  12 19 10
2013  12 20 10
2013  12 21  3
2013  12 22  3
2013  12 23  3
2013  13  0 27
2013  13  1 27
2013  13  2 27
2013  13  3 13
2013  13  4 13
2013  13  5 13
2013  13  6 20
2013  13  7 20
2013  13  8 20
2013  13  9 13
2013  13 10 13
2013  13 11 13
2013  13 12 23
2013  13 13 23
2013  13 14 23
2013  13 15 27
2013  13 16 27
2013  13 17 27
2013  13 18 27
2013  13 19 27
2013  13 20 27
2013  13 21 37
2013  13 22 37
2013  13 23 37
2013  14  0 33
2013  14  1 33
2013  14  2 33
2013  14  3 23
2013  14  4 23
2013  14  5 23
2013  14  6 27
2013  14  7 27
2013  14  8 27
2013  14  9 23
2013  14 10 23
2013  14 11 23
2013  14 12 20
2013  14 13 20
2013  14 14 20
2013  14 15 17
2013  14 16 17
2013  14 17 17
2013  14 18 20
2013  14 19 20
2013  14 20 20
2013  14 21 17
2013  14 22 17
2013  14 23 17
2013  15  0 20
2013  15  1 20
2013  15  2 20
2013  15  3 20
2013  15  4 20
2013  15  5 20
2013  15  6 13
2013  15  7 13
2013  15  8 13
2013  15  9 20
2013  15 10 20
2013  15 11 20
2013  15 12 17
2013  15 13 17
2013  15 14 17
2013  15 15  7
2013  15 16  7
2013  15 17  7
2013  15 18 13
2013  15 19 13
2013  15 20 13
2013  15 21  3
2013  15 22  3
2013  15 23  3
2013  16  0 13
2013  16  1 13
2013  16  2 13
2013  16  3 10
2013  16  4 10
2013  16  5 10
2013  16  6 20
2013  16  7 20
2013  16  8 20
2013  16  9  7
2013  16 10  7
2013  16 11  7
2013  16 12  7
2013  16 13  7
2013  16 14  7
2013  16 15 10
2013  16 16 10
2013  16 17 10
2013  16 18 23
2013  16 19 23
2013  16 20 23
2013  16 21 20
2013  16 22 20
2013  16 23 20
2013  17  0 30
2013  17  1 30
2013  17  2 30
2013  17  3 30
2013  17  4 30
2013  17  5 30
2013  17  6 17
2013  17  7 17
2013  17  8 17
2013  17  9 17
2013  17 10 17
2013  17 11 17
2013  17 12 30
2013  17 13 30
2013  17 14 30
2013  17 15 40
2013  17 16 40
2013  17 17 40
2013  17 18 27
2013  17 19 27
2013  17 20 27
2013  17 21 30
2013  17 22 30
2013  17 23 30
2013  18  0 30
2013  18  1 30
2013  18  2 30
2013  18  3 30
2013  18  4 30
2013  18  5 30
2013  18  6 17
2013  18  7 17
2013  18  8 17
2013  18  9 20
2013  18 10 20
2013  18 11 20
2013  18 12 30
2013  18 13 30
2013  18 14 30
2013  18 15 20
2013  18 16 20
2013  18 17 20
2013  18 18 20
2013  18 19 20
2013  18 20 20
2013  18 21 30
2013  18 22 30
2013  18 23 30
2013  19  0 33
2013  19  1 33
2013  19  2 33
2013  19  3 10
2013  19  4 10
2013  19  5 10
2013  19  6  7
2013  19  7  7
2013  19  8  7
2013  19  9  3
2013  19 10  3
2013  19 11  3
2013  19 12 13
2013  19 13 13
