#<year>	<month>	<day>	<hour>	<min>	<mlt>	<mlat>	<glon>	<glat>
2013	01	01	02	28	0.12	72.64	307.10	65.42
2013	01	02	07	12	1.03	72.45	267.89	62.82
2013	01	02	13	05	2.38	67.65	214.78	66.56
2013	01	04	03	03	23.06	72.21	291.48	63.75
2013	01	05	05	36	23.08	68.50	265.79	57.71
2013	01	05	11	26	0.51	65.79	212.57	65.12
2013	01	06	11	43	2.15	69.85	233.31	65.26
2013	01	06	17	52	23.27	69.34	80.70	73.53
2013	01	07	07	09	0.93	72.45	267.89	62.82
2013	01	08	03	35	1.09	69.98	308.27	64.17
2013	01	08	16	27	22.07	69.34	80.70	73.53
2013	01	08	21	44	23.17	66.86	16.03	69.30
2013	01	09	01	28	22.79	73.99	306.43	67.93
2013	01	09	08	58	21.13	70.64	203.38	71.32
2013	01	10	10	10	1.58	69.42	245.52	62.48
2013	01	11	09	41	0.56	67.47	238.77	61.76
2013	01	11	22	32	0.55	68.19	22.22	70.54
2013	01	12	03	00	0.51	67.41	310.32	62.00
2013	01	12	10	58	23.56	70.87	211.21	70.36
2013	01	13	06	54	21.24	69.85	233.31	65.26
2013	01	13	14	05	1.41	65.37	180.63	68.88
2013	01	13	19	26	0.69	69.34	80.70	73.53
2013	01	14	01	07	22.40	73.99	306.43	67.93
2013	01	14	02	25	0.14	65.75	314.56	61.16
2013	01	14	05	57	2.13	72.21	291.48	63.75
2013	01	14	08	37	1.30	58.49	256.20	49.69
2013	01	14	12	51	2.01	67.65	214.78	66.56
2013	01	14	16	34	0.92	66.71	128.92	71.59
2013	01	15	01	14	22.49	69.98	308.27	64.17
2013	01	15	07	29	0.18	58.49	256.20	49.69
2013	01	15	18	01	2.15	66.71	128.92	71.59
2013	01	16	02	52	0.27	69.98	308.27	64.17
2013	01	16	09	42	22.25	62.11	204.40	62.95
2013	01	16	13	34	2.30	70.87	211.21	70.36
2013	01	16	16	21	1.01	70.98	137.71	75.94
2013	01	16	21	00	22.84	66.65	18.94	69.66
2013	01	17	00	31	2.40	71.89	19.20	74.50
2013	01	17	14	44	2.00	65.37	180.63	68.88
2013	01	18	01	01	0.52	71.63	338.03	70.48
2013	01	18	20	08	0.11	65.95	61.21	69.60
2013	01	19	00	44	22.32	65.75	314.56	61.16
2013	01	19	20	25	0.38	65.95	61.21	69.60
2013	01	20	13	03	0.28	65.37	180.63	68.88
2013	01	21	00	23	1.76	66.86	16.03	69.30
2013	01	21	04	31	23.69	73.47	283.40	64.20
2013	01	21	07	40	23.08	69.42	245.52	62.48
2013	01	21	11	32	1.80	69.85	233.31	65.26
2013	01	23	05	02	21.07	58.14	251.74	50.06
2013	01	24	01	21	22.55	71.43	308.27	64.17
2013	01	24	03	17	2.95	71.63	338.03	70.48
2013	01	24	10	08	1.42	69.42	245.52	62.48
2013	01	25	08	29	1.80	59.96	263.96	50.20
2013	01	25	10	19	23.07	71.50	216.35	70.14
2013	01	25	16	21	0.67	66.71	128.92	71.59
2013	01	25	22	07	0.12	68.19	22.22	70.54
2013	01	26	07	54	0.10	58.14	251.74	50.06
2013	01	26	13	33	0.22	65.92	170.90	70.08
2013	01	27	09	21	0.94	67.48	248.89	58.77
2013	01	27	13	55	22.69	70.98	137.71	75.94
2013	01	27	16	32	22.03	69.34	80.70	73.53
2013	01	28	05	57	23.45	72.45	267.89	62.82
2013	01	28	13	56	22.70	70.98	137.71	75.94
2013	01	28	18	23	2.46	66.71	128.92	71.59
2013	01	28	21	53	23.79	71.89	19.20	74.50
2013	01	29	01	52	23.14	69.98	308.27	64.17
2013	01	31	22	35	0.37	67.80	22.22	70.54
2013	02	01	10	32	1.23	67.47	238.77	61.76
2013	02	01	14	37	1.23	65.92	170.90	70.08
2013	02	01	23	06	20.49	78.93	303.85	72.78
2013	02	02	04	35	2.11	67.41	310.32	62.00
2013	02	02	07	34	2.87	73.47	283.40	64.20
2013	02	02	09	10	22.52	66.24	220.89	64.05
2013	02	02	12	45	0.81	70.64	203.38	71.32
2013	02	02	14	20	1.47	65.37	180.63	68.88
2013	02	02	17	18	1.75	70.98	137.71	75.94
2013	02	02	18	48	20.80	71.89	19.20	74.50
2013	02	03	00	08	1.52	66.86	16.03	69.30
2013	02	03	19	00	0.26	69.34	80.70	73.53
2013	02	04	12	12	0.21	70.64	203.38	71.32
2013	02	04	17	14	22.62	69.34	80.70	73.53
2013	02	05	06	15	23.57	68.50	265.79	57.71
2013	02	07	00	12	2.20	68.19	25.79	71.09
